,Pinophyta,Abies,LUCA,cell_ids,Dist.to.road_m,Elevation_m,MaxTemp_m,MeanTemp_m,MinTemp_m,Population_m,Precipitation_m,SolarRadiation_m,VaporPres_m,WindSp_m,Longitude,Latitude,wwf_mhtnum,wwf_mhtnam,covid,name,cov_id,tipos,geometry
3677,0.0,0.0,1.0,243184,2161.82296387,47.3333333333,31.4219905535,24.9722222222,31.3240740741,27.1372981071,84.7569444444,16553.1458333,2.58101851852,3.07407407407,-96.426563416,19.507389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,64313,AGRICULTURA DE RIEGO SEMIPERMANENTE,9847.0,Agricultura de Riego,POINT (-96.42656341599999 19.507389801)
3678,0.0,0.0,0.0,239221,1122.57980469,106.0,28.9673611014,23.9490740741,29.0115740741,101.15571679,132.418981481,16878.0972222,2.49305555556,2.0,-97.406563416,20.291389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,41981,PASTIZAL CULTIVADO,7291.0,Pastizal Cultivado,POINT (-97.406563416 20.291389801)
3679,1.0,0.0,1.0,253507,7917.12607422,2282.22222222,21.7336111228,15.3083333333,21.7694444444,20.5251411597,42.3166666667,16678.4361111,1.0,2.41944444444,-97.161563416,17.645389801,3.0,Tropical and Subtropical Coniferous Forests,47116,PASTIZAL INDUCIDO,11267.0,Agricultura de Temporal,POINT (-97.16156341600001 17.645389801)
3680,0.0,0.0,1.0,242192,962.579804687,1177.88888889,23.8710647998,19.5833333333,23.8912037037,21.669697113,146.194444444,16072.0092593,1.79166666667,2.0,-96.671563416,19.703389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,41538,PASTIZAL CULTIVADO,9433.0,Agricultura de Temporal,POINT (-96.671563416 19.703389801)
3681,0.0,0.0,0.0,245621,5983.58782227,2471.66666667,20.9782407968,12.8518518519,21.0740740741,28.9049270683,48.7893518519,17161.7152778,1.0,2.01851851852,-97.553563416,19.017389801,13.0,Deserts and Xeric Shrublands,71911,AGRICULTURA DE TEMPORAL ANUAL,8684.0,Agricultura de Temporal,POINT (-97.553563416 19.017389801)
3682,0.0,0.0,1.0,250321,7078.32830078,1070.33333333,32.3307870494,24.5069444444,32.4212962963,6.19434712331,36.1273148148,16563.7592593,1.76388888889,2.0,-97.210563416,18.184389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,107660,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA BAJA CADUCIFOLIA,10997.0,Matorral Crasicaule,POINT (-97.210563416 18.184389801)
3683,0.0,0.0,1.0,249399,1725.30038086,1872.0,25.19560179,18.8125,25.2453703704,4.72536660896,43.962962963,17158.7384259,1.2337962963,2.0,-97.651563416,18.331389801,13.0,Deserts and Xeric Shrublands,25896,MATORRAL CRASICAULE,10861.0,Pastizal Cultivado,POINT (-97.651563416 18.331389801)
3684,0.0,0.0,1.0,246347,3723.28155762,2067.22222222,25.1360000229,17.11,25.17,110.852589734,53.9,17592.39,1.01333333333,2.0,-97.945563416,18.870389801,13.0,Deserts and Xeric Shrublands,48545,PASTIZAL INDUCIDO,10435.0,Pastizal Cultivado,POINT (-97.945563416 18.870389801)
3685,0.0,0.0,0.0,241689,866.274160156,1367.55555556,22.5416666313,18.0833333333,22.5949074074,42.8110922178,136.68287037,16105.1041667,1.63657407407,2.0,-97.063563416,19.801389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,41782,PASTIZAL CULTIVADO,8875.0,Pastizal Cultivado,POINT (-97.06356341599999 19.801389801)
3686,0.0,0.0,0.0,244388,859.148344727,2392.77777778,23.1011111048,14.1416666667,23.15,70.813941129,47.6888888889,17497.7583333,1.0,2.0,-97.798563416,19.262389801,13.0,Deserts and Xeric Shrublands,71911,AGRICULTURA DE TEMPORAL ANUAL,8684.0,Agricultura de Temporal,POINT (-97.79856341599999 19.262389801)
3687,0.0,0.0,1.0,248503,1200.0,2024.55555556,23.4993055662,16.9537037037,23.5717592593,87.9828842163,41.4675925926,16980.8217593,1.13425925926,2.0,-97.553563416,18.478389801,13.0,Deserts and Xeric Shrublands,29547,MATORRAL DESÉRTICO ROSETÓFILO,10748.0,Matorral Desertico Rosetofilo,POINT (-97.553563416 18.478389801)
3688,0.0,0.0,1.0,253210,8707.20022786,1481.77777778,29.9476851313,22.6875,29.962962963,33.1711861293,63.8472222222,17500.962963,1.51388888889,2.0,-98.092563416,17.694389801,3.0,Tropical and Subtropical Coniferous Forests,107549,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA BAJA CADUCIFOLIA,11286.0,Agricultura de Temporal,POINT (-98.092563416 17.694389801)
3689,0.0,0.0,1.0,247956,1348.21925293,77.6666666667,31.160185368,25.6666666667,31.0671296296,36.2695501645,120.347222222,15924.3194444,2.5,2.21064814815,-96.377563416,18.576389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,85365,AGRICULTURA DE TEMPORAL SEMIPERMANENTE Y PERMANENTE,10015.0,Pastizal Cultivado,POINT (-96.377563416 18.576389801)
3690,1.0,0.0,1.0,244118,1509.09574707,2285.88888889,24.1631944356,16.6342592593,24.2638888889,4665.495224,49.9421296296,18309.462963,1.0,2.03240740741,-98.974563416,19.311389801,13.0,Deserts and Xeric Shrublands,70460,AGRICULTURA DE TEMPORAL ANUAL,9776.0,Zona Urbana,POINT (-98.974563416 19.311389801)
3691,0.0,0.0,1.0,240682,747.140450033,2463.11111111,20.525694463,13.4953703704,20.5717592593,63.8354217211,63.7037037037,17752.2777778,1.0,2.0,-98.092563416,19.997389801,3.0,Tropical and Subtropical Coniferous Forests,71911,AGRICULTURA DE TEMPORAL ANUAL,8684.0,Agricultura de Temporal,POINT (-98.092563416 19.997389801)
3692,0.0,0.0,0.0,250306,4175.85263672,1465.66666667,29.2722221904,22.6277777778,29.3194444444,9.34926971462,34.9805555556,17467.7444444,1.49444444444,2.0,-97.945563416,18.184389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,47749,PASTIZAL INDUCIDO,10946.0,Pastizal Cultivado,POINT (-97.945563416 18.184389801)
3693,1.0,0.0,1.0,247935,1529.86149902,2047.88888889,21.5893518682,15.8287037037,21.650462963,114.20224248,46.3333333333,16804.9328704,1.13657407407,2.0,-97.406563416,18.576389801,13.0,Deserts and Xeric Shrublands,29549,MATORRAL DESÉRTICO ROSETÓFILO,10721.0,Matorral Desertico Rosetofilo,POINT (-97.406563416 18.576389801)
